MSL Code,MSL Description,UOM,Outer Qty,Outer Desc,Unit Size
PROTF1032Z,10g x 32 CSK Pozi T/F Z/P (40),Jar,,,40
PROTF616Z,6g x 16 CSK Pozi T/F Z/P (50),Jar,,,50
PROTF625Z,6g x 25 CSK Pozi T/F Z/P (50),Jar,,,50
PROTF832Z,8g x 32 CSK Pozi T/F Z/P (40),Jar,,,40
PROTK1016NC4,10-16 x 16 Hex W/F Tek With Neo CL:4 (25),Jar,,,25
PROTK1225NC4,12-14 x 25 Hex W/F Tek With Neo CL:4 (20),Jar,,,20
PROTK1235NC4,12-14 x 35 Hex W/F Tek With Neo CL:4  (20),Jar,,,20
PROTTB14100C4,14 x 100 Bugle Head Batten Screws T17 CL:4 (10),Jar,,,10
PROTTB1475C4,14 x 75 Bugle Head Batten Screws T17 CL:4 (15),Jar,,,15
PROGBM625Z,M6 x 25 Gutter Bolt/Nut/Washer (18),Jar,,,18
PROHFQ616Z#2,6g x 16 Hinge Fast CSK SQDR Z/P #2 (50),Jar,,,50
PROSFQ1075CL3,10g x 75     Surefast CSK SQDR CL3   (25),Jar,,,25
PROSFQ825CL3,8g x 25       Surefast CSK SQDR CL3   (50),Jar,,,50
PROSFQ840,8g x 40       Surefast CSK SQDR Z/C   (40),Jar,,,40
PROSFQ840CL3,8g x 40       Surefast CSK SQDR CL3   (40),Jar,,,40
