Branch#,Branch Name,Group,Code,Description,Long Description 1,Last Supplier,Outer Qty,Outer Desc,Jul2018 Qty Start,Free Stock,Ytd Qty Sold,Min Qty,Max Qty,Unit
"0","All","02","ABSB10053360","SANDING BELT 100 X 533 60G","","SAIGOB","0","","0","0","0","0","0",""
"0","All","02","ABSB10053380","SANDING BELT 100 X 533 80G","","SAIGOB","0","","0","0","0","0","0",""
"0","All","02","ABSB10056060","SANDING BELT 100 X 560 60G","","SAIGOB","0","","0","0","0","0","0",""
"0","All","02","ABSB100610100","SANDING BELT 100 X 610 100G","","SAIGOB","0","","0","0","0","0","0",""
"0","All","02","ABSB100610120","SANDING BELT 100 X 610 120G","","SAIGOB","0","","0","0","0","0","0",""
"0","All","02","ABSB10061040","SANDING BELT 100 X 610 40G","","SAIGOB","0","","0","0","0","0","0",""
"0","All","02","ABSB10061060","SANDING BELT 100 X 610 60G","","SAIGOB","0","","0","0","0","0","0",""
"0","All","02","ABSB10061080","SANDING BELT 100 X 610 80G","","SAIGOB","0","","0","0","0","0","0",""
"0","All","02","ABSB6541040","SANDING BELT 65 X 410 40G","","SAIGOB","0","","0","0","0","0","0",""
"0","All","02","ABSB754571202","SANDING BELT 75 X 457 120G (2PK)","","BUNLTD","0","","0","0","0","0","0",""
"0","All","02","ABSB75533120","SANDING BELT 75 X 533 120G","","SAIGOB","0","","0","0","0","0","0",""
"0","All","02","ABSB755331202","SANDING BELT 75 X 533 120G (2PK)","","BUNLTD","0","","0","0","0","0","0",""
"0","All","02","ABSB7553360","SANDING BELT 75 X 533 60G","","SAIGOB","0","","0","0","0","0","0",""
"0","All","02","ABSB75610100","SANDING BELT 75 X 610 100G","","SAIGOB","0","","0","0","0","0","0",""
"0","All","02","ABSB75610120","SANDING BELT 75 X 610 120G","","SAIGOB","0","","0","0","0","0","0",""
"0","All","02","ABSB7561060","SANDING BELT 75 X 610 60G","","SAIGOB","0","","0","0","0","0","0",""
"0","All","02","ABSDANF15040","SANDING DISC A NO FIL 150mm 40G","","WATNEW","0","","0","0","0","0","0",""
"0","All","02","ABSDANF15060","SANDING DISC A NO FIL 150mm 60G","","WATNEW","0","","0","0","0","0","0",""
"0","All","02","ABSDNF150100","SANDING DISC NO FIL SNS 150MM 100G","","SAIGOB","0","","0","0","0","0","0",""
"0","All","02","ABSDNF150120","SANDING DISC NO FIL SNS 150MM 120G","","SAIGOB","0","","0","0","0","0","0",""
